time,timestep,maxtimestep,icao24,outliers,callsign,heading,baroaltitude,lat,lon,velocity,vertratecorr,baroaltitudeanalysis,dbaroaltitudeanalysis,tasanalysis,dtasanalysis,baroaltitudekalman,taskalman,segment,modeltype,operator,ukalman,vkalman,tempkalman,temp_surfacekalman,temp1000kalman,temp2000kalman,temp3000kalman,temp4000kalman,temp5000kalman,temp6000kalman,temp7000kalman,temp8000kalman,temp9000kalman,temp10000kalman,temp11000kalman,tempanalysis,target_cas1,target_cas2,target_Mach,mseSpeed,n_cas1,n_cas2,n_mach,fromICAO,toICAO,distance_from_dep,trip_distance,massPast,mseEnergyRatePast,massFutur,mseEnergyRateFutur,u,v,temp,tas,plane_class,mark
1483464843,0,840,1399,0.0785185185185,3381,107.744671625,3674.2233234,45.7030630258,16.6501216003,189.049595739,12.4413932501,3679.56340648,11.7706518392,184.41684089,0.0712628359962,3674.20798606,184.582384534,4762,5,72,2.59103387384,-6.86018303909,257.483468747,272.941295848,253.70266176,246.771700192,239.009913004,231.525436593,224.235307302,218.175695603,214.761047707,214.524993325,214.973102356,215.312981328,214.067624805,257.46947783,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,45345.8,3888090.0,,,74222.6,3.40877,2.59105429227,-6.86017512289,257.483428667,184.580397582,A320,train
1483464858,15,840,1399,0.0785185185185,3381,107.993087818,3859.76797792,45.6958007812,16.6821363496,189.854929171,12.5791738818,3855.26305838,11.5534154681,185.516735161,0.0784898970896,3838.99928759,185.102601415,4762,5,72,2.87808303529,-6.68995194726,257.042708918,272.949621735,252.866216451,245.450043668,237.755792985,230.316568319,223.055800222,217.341106147,214.71693264,214.539184168,215.062298198,215.10388349,213.889125013,257.000793097,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,47904.5,3888090.0,,,74250.2,3.50466,2.90582784267,-6.67976532218,256.989195459,185.10822836,A320,train
1483464873,30,840,1399,0.0785185185185,3381,108.032054361,4031.3444341,45.6873058817,16.7194980203,190.911067012,10.2012343809,4022.29068109,10.658579509,186.844764567,0.0971832525361,4015.26547537,185.62442998,4762,5,72,3.20010867661,-6.50599277089,256.573271056,272.960102001,251.599870217,244.060825385,236.439019096,229.047679761,221.816684119,216.467730506,214.674567748,214.645911014,215.156950886,214.886812835,213.703830041,256.555397328,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,50898.5,3888090.0,,,74289.2,3.54338,3.22173622202,-6.49855060869,256.532382055,185.908188985,A320,train
1483464888,45,840,1399,0.0785185185185,3381,107.906670772,4169.22540758,45.679434106,16.7542042407,194.087251702,9.45337201315,4180.41737013,10.7767832775,188.243584062,0.0797267991098,4155.68674871,188.249959966,4762,5,72,3.47471128115,-6.35199076237,256.198978505,272.970156864,250.553985951,242.971266332,235.407308219,228.027826608,220.844478207,215.785164266,214.644578355,214.730688811,215.23265596,214.719382395,213.560877421,256.136736877,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,53685.9,3888090.0,,,74253.4,3.5416,3.49306567867,-6.34604227746,256.164884423,188.877452479,A320,train
1483464903,60,840,1399,0.0785185185185,3381,107.860094071,4345.00069943,45.6723773591,16.7854369932,194.576839613,12.6266071249,4352.36677771,12.1353055404,189.062939211,0.0307453724506,4323.05972818,189.389568532,4762,5,72,3.3518363008,-6.26797280833,255.443195646,272.979392801,249.331848301,241.696303735,234.12211617,226.755036578,219.931332611,214.991120169,214.612962447,214.827843832,215.318655221,214.521412338,213.391784415,255.29110854,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,56198.4,3888090.0,,,74232.1,3.5447,3.30117520337,-6.27140515121,255.329289727,189.576164189,A320,train
1483464918,75,840,1399,0.0785185185185,3381,107.762042755,4542.70323047,45.6639071635,16.8230279777,193.929694776,12.5320288131,4539.03478035,12.4711774439,189.357923079,0.0168529958432,4521.0253598,189.296433602,4762,5,72,2.97950806861,-6.22610800929,254.407700731,272.991335352,247.915877385,240.141222432,232.612852126,225.279429842,218.890065961,214.765203573,214.580977121,214.940741114,215.418686255,214.29373965,213.197346514,254.316441071,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,59226.9,3888090.0,,,74334.5,3.50165,2.92933870566,-6.23112347545,254.297873365,189.306213695,A320,train
1483464933,90,840,1399,0.0785185185185,3381,107.953483017,4728.88669529,45.6551941378,16.8616152349,193.5977927,11.6288358651,4718.9175369,11.3375555043,189.80436353,0.0488202748435,4709.40244457,189.239351511,4762,5,72,2.62088383137,-6.20921599969,253.446919858,273.004174553,246.440719501,238.683989948,231.207144129,223.903919379,217.923131398,214.723058006,214.556182167,215.046783966,215.331857458,214.084005176,213.018194855,253.399810217,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,62340.8,3888090.0,,,74491.1,3.30947,2.57563989731,-6.21518647633,253.350504109,189.300985015,A320,train
1483464948,105,840,1399,0.0785185185185,3381,107.836706505,4880.09947872,45.6473602129,16.8963334625,194.823981441,9.26440372685,4877.83887464,9.97315439355,190.861993017,0.0887909872249,4865.60727989,190.30869841,4762,5,72,2.31939128063,-6.21412844858,252.667574644,273.016007206,245.188172437,237.498108352,230.06344127,222.783631223,217.138442491,214.692121278,214.599053267,215.133980737,215.134264625,213.915161429,212.873906155,252.575443267,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,65146.0,3888090.0,,,74543.1,3.16754,2.27721039056,-6.24214517405,252.558429146,190.816314545,A320,train
1483464963,120,840,1399,0.0785185185185,3381,108.007730547,5014.67923362,45.6391159422,16.9325569956,196.362001153,9.64224679005,5024.58276684,9.79325110387,192.29027187,0.0969767671696,5000.59908102,192.22844745,4762,5,72,1.98409989816,-6.43079151908,251.646500764,273.028916083,244.120592832,236.488328669,229.08971469,221.828358392,216.471540476,214.668468318,214.683969754,215.210086122,214.968980287,213.773870532,212.753108436,251.468700341,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,68077.5,3888090.0,,,74480.3,3.38198,1.94294181263,-6.4579263094,251.542063153,192.597518461,A320,train
1483464978,135,840,1399,0.0785185185185,3381,107.961440764,5177.39524347,45.6317365221,16.9650563073,196.851309262,10.2635637482,5172.74195081,9.82527222372,193.763551967,0.102580513677,5159.91836498,193.2492686,4762,5,72,1.56370438272,-6.69992949312,250.464898633,273.040721888,242.882689903,235.319123563,227.932893024,220.723090464,215.702987172,214.645023655,214.780639519,215.295921425,214.775080156,213.608089203,212.611343818,250.371462191,,153.592858481,0.758305026535,3.12290886122,0,42,13,LDZA,OTBD,70709.9,3888090.0,73526.5,6.3816,74510.7,3.30294,1.51266119289,-6.73335342793,250.33758911,193.427147115,A320,train
